split,global_step,hits_sum,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,196,25455552.000000,107356.000000,0.519599,116.146179
training,197,34581240.000000,99345.000000,0.480826,171.263870
training,198,29900454.000000,109099.000000,0.528036,116.444221
training,199,28256470.000000,102775.000000,0.497428,132.534271
training,200,32865188.000000,105278.000000,0.509542,175.350784
training,201,27814568.000000,100942.000000,0.488556,117.974945
training,202,32556724.000000,100383.000000,0.485850,143.614944
training,203,27974650.000000,88882.000000,0.430186,202.101440
training,204,29069466.000000,97783.000000,0.473266,171.170471
training,205,30973258.000000,90367.000000,0.437373,300.250854
training,206,30666084.000000,98967.000000,0.478997,163.633667
training,207,28606698.000000,100579.000000,0.486799,162.825211
training,208,33136192.000000,98811.000000,0.478242,130.167175
training,209,33551786.000000,102125.000000,0.494282,137.641571
training,210,28825212.000000,104884.000000,0.507635,130.781021
training,211,29541650.000000,99407.000000,0.481127,120.824547
training,212,28789112.000000,114384.000000,0.553615,208.777542
training,213,27655448.000000,122227.000000,0.591575,170.932068
training,214,32542508.000000,99015.000000,0.479229,157.949890
training,215,30016646.000000,96901.000000,0.468998,177.011292
training,216,27394202.000000,98224.000000,0.475401,115.671776
training,217,32259336.000000,114284.000000,0.553131,133.290939
training,218,28941088.000000,106003.000000,0.513051,137.076355
training,219,31283372.000000,93859.000000,0.454274,143.008224
training,220,27982752.000000,89747.000000,0.434372,226.053864
training,221,38124756.000000,112353.000000,0.543785,163.632706
training,222,35705008.000000,113487.000000,0.549273,160.620026
training,223,28608536.000000,105553.000000,0.510873,160.633148
training,224,26145242.000000,94577.000000,0.457750,185.022522
training,225,28751806.000000,96740.000000,0.468218,174.621918
training,226,34800832.000000,107693.000000,0.521231,152.807068
training,227,27391294.000000,114160.000000,0.552531,118.142784
training,228,29154508.000000,89386.000000,0.432625,321.093445
training,229,28284308.000000,120176.000000,0.581648,124.599777
training,230,26489268.000000,91878.000000,0.444686,165.693085
training,231,30076836.000000,101582.000000,0.491653,142.557159
training,232,31698652.000000,100085.000000,0.484408,241.803238
training,233,32260606.000000,97770.000000,0.473204,147.401947
training,234,28554940.000000,118066.000000,0.571436,131.065186
training,235,25853936.000000,109259.000000,0.528810,161.202820
training,236,27981196.000000,110645.000000,0.535518,270.772278
training,237,28856006.000000,113197.000000,0.547870,237.415588
training,238,33637040.000000,108792.000000,0.526550,146.473831
training,239,25456718.000000,91005.000000,0.440461,124.063103
training,240,32361944.000000,98881.000000,0.478581,111.044189
training,241,29975470.000000,113512.000000,0.549394,137.499557
training,242,32822866.000000,111663.000000,0.540445,150.106171
training,243,34634720.000000,104313.000000,0.504871,145.983490
training,244,28116540.000000,88284.000000,0.427292,280.313538
training,245,32447336.000000,88614.000000,0.428889,125.132065
training,246,28545708.000000,106672.000000,0.516289,293.031860
training,247,27464980.000000,97795.000000,0.473325,159.333511
training,248,28310132.000000,113725.000000,0.550425,246.141403
training,249,28569764.000000,101523.000000,0.491368,136.725632
training,250,27061624.000000,96034.000000,0.464801,146.326950
training,251,29127754.000000,118764.000000,0.574814,131.828323
training,252,28087332.000000,102414.000000,0.495680,148.676773
training,253,34746476.000000,106594.000000,0.515911,144.946136
training,254,26697112.000000,96922.000000,0.469099,136.481277
training,255,25559694.000000,91922.000000,0.444899,137.052551
training,256,33968272.000000,103193.000000,0.499451,195.712677
training,257,28361184.000000,115490.000000,0.558968,237.110367
training,258,26410862.000000,94743.000000,0.458553,149.099518
training,259,29349288.000000,109432.000000,0.529647,144.877823
training,260,29414362.000000,103543.000000,0.501145,148.080444
training,261,32688474.000000,111349.000000,0.538925,146.040985
training,262,28924802.000000,108038.000000,0.522900,160.095551
training,263,29801752.000000,87860.000000,0.425239,215.750717
training,264,25700328.000000,94324.000000,0.456525,199.833923
training,265,28592388.000000,90434.000000,0.437698,273.716217
training,266,29310918.000000,90287.000000,0.436986,307.264648
training,267,31848032.000000,103728.000000,0.502040,144.396576
training,268,27245674.000000,98532.000000,0.476892,156.992508
training,269,30677650.000000,108999.000000,0.527552,165.785446
training,270,28394586.000000,109551.000000,0.530223,225.594406
training,271,28588384.000000,116399.000000,0.563367,157.515137
training,272,31122596.000000,92806.000000,0.449178,169.879135
training,273,30579018.000000,100139.000000,0.484669,171.931076
training,274,32233710.000000,102275.000000,0.495008,145.213699
training,275,31460206.000000,99270.000000,0.480463,251.396133
training,276,30888636.000000,104618.000000,0.506348,146.928741
training,277,25877686.000000,88761.000000,0.429600,203.862625
training,278,29119688.000000,113945.000000,0.551490,259.594513
training,279,33157604.000000,102024.000000,0.493793,206.134201
training,280,26637798.000000,88915.000000,0.430346,156.007553
training,281,31494972.000000,101471.000000,0.491116,148.338593
training,282,29934346.000000,91767.000000,0.444149,212.996002
training,283,32171752.000000,108907.000000,0.527106,158.569534
training,284,28752660.000000,108383.000000,0.524570,342.873260
training,285,29631516.000000,106081.000000,0.513429,140.107269
training,286,27463212.000000,92697.000000,0.448650,254.436356
training,287,29239048.000000,106227.000000,0.514135,168.533752
training,288,25227472.000000,95089.000000,0.460228,181.281662
training,289,26415584.000000,100251.000000,0.485211,164.663300
training,290,27980192.000000,110120.000000,0.532977,269.643219
training,291,32432248.000000,102673.000000,0.496934,170.563553
training,292,30788648.000000,94817.000000,0.458911,191.718781
training,293,25374368.000000,90602.000000,0.438511,320.405670
training,294,28586252.000000,87401.000000,0.423018,161.949860
training,295,29590836.000000,97999.000000,0.474312,184.915070
training,296,30361908.000000,116258.000000,0.562685,143.083740
training,297,28881908.000000,102740.000000,0.497258,155.287033
training,298,30876632.000000,97936.000000,0.474007,142.296921
training,299,23337476.000000,89972.000000,0.435461,139.406143
training,300,30495484.000000,114648.000000,0.554892,163.315933
training,301,27618812.000000,89775.000000,0.434508,338.815186
training,302,27460694.000000,111473.000000,0.539526,159.391495
