split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,132,29624652.000000,549.000000,279.000000,111184.000000,0.538127,130.938690
training,133,28398192.000000,652.000000,277.000000,87899.000000,0.425428,228.227814
training,134,33244704.000000,600.000000,272.000000,98494.000000,0.476708,163.767197
training,135,27301802.000000,625.000000,242.000000,94055.000000,0.455223,113.726334
training,136,34239912.000000,598.000000,283.000000,88566.000000,0.428656,102.432541
training,137,30047268.000000,570.000000,280.000000,117232.000000,0.567399,126.429314
training,138,27008636.000000,610.000000,268.000000,94360.000000,0.456699,101.255836
training,139,26154800.000000,642.000000,248.000000,92316.000000,0.446806,148.081345
training,140,33089664.000000,546.000000,284.000000,119098.000000,0.576430,130.642242
training,141,29542578.000000,695.000000,285.000000,87379.000000,0.422911,226.210052
training,142,29242604.000000,640.000000,240.000000,103223.000000,0.499596,121.226654
training,143,37838536.000000,568.000000,297.000000,111512.000000,0.539714,175.165787
training,144,29977600.000000,608.000000,284.000000,108125.000000,0.523321,109.359871
training,145,30574628.000000,581.000000,256.000000,101081.000000,0.489229,148.953827
training,146,30408384.000000,572.000000,281.000000,113974.000000,0.551630,112.446045
training,147,34202592.000000,592.000000,250.000000,104216.000000,0.504402,104.731903
training,148,29262716.000000,612.000000,261.000000,97052.000000,0.469728,149.256485
training,149,34247728.000000,569.000000,252.000000,104353.000000,0.505065,109.805054
training,150,31202636.000000,590.000000,251.000000,92766.000000,0.448984,108.093407
training,151,24545394.000000,630.000000,247.000000,86815.000000,0.420182,174.865021
training,152,30932834.000000,635.000000,283.000000,111224.000000,0.538320,123.849213
training,153,33037776.000000,604.000000,293.000000,100739.000000,0.487573,151.968903
training,154,26678616.000000,568.000000,277.000000,113868.000000,0.551117,118.398880
training,155,31857126.000000,566.000000,287.000000,102957.000000,0.498308,153.347137
training,156,31560528.000000,597.000000,288.000000,100624.000000,0.487017,144.908737
training,157,26942152.000000,567.000000,273.000000,112488.000000,0.544438,117.436577
training,158,33905736.000000,583.000000,281.000000,100184.000000,0.484887,124.527039
training,159,31439948.000000,575.000000,297.000000,103846.000000,0.502611,108.698174
training,160,29061132.000000,567.000000,254.000000,86407.000000,0.418207,109.290787
training,161,26056056.000000,684.000000,283.000000,93116.000000,0.450678,129.656281
training,162,38299164.000000,609.000000,299.000000,112224.000000,0.543160,159.303421
training,163,33262720.000000,633.000000,275.000000,96885.000000,0.468920,267.632263
training,164,28095164.000000,556.000000,268.000000,122825.000000,0.594469,146.109222
training,165,29340596.000000,596.000000,287.000000,94348.000000,0.456641,169.131943
training,166,28392428.000000,573.000000,255.000000,84382.000000,0.408406,114.976128
training,167,30990796.000000,565.000000,268.000000,96363.000000,0.466394,142.800415
training,168,29136694.000000,645.000000,268.000000,88027.000000,0.426048,147.339386
training,169,30125756.000000,575.000000,297.000000,93802.000000,0.453999,149.291840
training,170,26452838.000000,637.000000,279.000000,111091.000000,0.537677,133.870361
training,171,32193744.000000,559.000000,303.000000,105342.000000,0.509852,134.787003
