split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,125,19559172.000000,414.000000,155.000000,65243.000000,0.315774,21.840769
training,126,15945814.000000,401.000000,131.000000,64720.000000,0.313243,31.369793
training,127,15518445.000000,391.000000,143.000000,75203.000000,0.363980,19.496897
training,128,17755096.000000,431.000000,138.000000,76589.000000,0.370688,29.604288
training,129,21993520.000000,390.000000,153.000000,82785.000000,0.400677,23.383648
training,130,17655164.000000,347.000000,147.000000,87715.000000,0.424538,21.618336
training,131,18412236.000000,460.000000,149.000000,71980.000000,0.348381,34.795040
training,132,21407588.000000,404.000000,139.000000,74884.000000,0.362436,19.671871
training,133,15744782.000000,362.000000,140.000000,72830.000000,0.352495,20.779009
training,134,17730080.000000,380.000000,146.000000,98477.000000,0.476625,21.793983
training,135,18111346.000000,324.000000,148.000000,85752.000000,0.415037,24.073408
training,136,17212052.000000,341.000000,154.000000,75620.000000,0.365998,31.398144
training,137,16571166.000000,379.000000,142.000000,86648.000000,0.419373,24.251392
training,138,19686836.000000,390.000000,159.000000,77198.000000,0.373636,31.166624
training,139,16289018.000000,396.000000,150.000000,83844.000000,0.405802,26.643167
training,140,20081054.000000,435.000000,144.000000,82050.000000,0.397119,27.553921
training,141,24658820.000000,411.000000,153.000000,75164.000000,0.363791,23.083521
training,142,15377729.000000,485.000000,139.000000,66265.000000,0.320720,29.423679
training,143,18603564.000000,425.000000,160.000000,64100.000000,0.310242,22.521984
training,144,16349321.000000,328.000000,153.000000,81289.000000,0.393436,23.716480
training,145,16556492.000000,492.000000,153.000000,69701.000000,0.337351,38.040672
training,146,22436468.000000,390.000000,165.000000,68323.000000,0.330681,20.180897
training,147,15569970.000000,361.000000,148.000000,77128.000000,0.373297,22.573313
training,148,19221824.000000,452.000000,137.000000,81746.000000,0.395648,25.179457
training,149,18729462.000000,399.000000,143.000000,67544.000000,0.326911,19.666241
training,150,18222898.000000,380.000000,156.000000,89822.000000,0.434735,22.143360
training,151,20268876.000000,416.000000,162.000000,78556.000000,0.380208,26.037312
training,152,18990292.000000,308.000000,166.000000,86510.000000,0.418705,26.642464
training,153,22205228.000000,447.000000,153.000000,80457.000000,0.389409,30.487808
training,154,18162190.000000,381.000000,146.000000,64390.000000,0.311645,18.084896
training,155,18224884.000000,330.000000,150.000000,98342.000000,0.475972,26.552992
training,156,18402588.000000,307.000000,156.000000,87201.000000,0.422050,31.447935
training,157,21999394.000000,395.000000,169.000000,66813.000000,0.323373,28.757856
training,158,19715398.000000,376.000000,142.000000,104014.000000,0.503424,23.011072
training,159,19676972.000000,394.000000,145.000000,105532.000000,0.510771,22.170048
training,160,16076127.000000,427.000000,135.000000,66837.000000,0.323489,30.670015
training,161,19850016.000000,489.000000,171.000000,76346.000000,0.369512,25.856352
training,162,20579424.000000,398.000000,154.000000,95503.000000,0.462231,26.002657
training,163,21878294.000000,457.000000,155.000000,81436.000000,0.394148,32.678593
training,164,22832568.000000,420.000000,157.000000,80333.000000,0.388809,27.678272
training,165,17268760.000000,529.000000,159.000000,72622.000000,0.351488,44.063618
training,166,17706976.000000,382.000000,154.000000,93129.000000,0.450741,23.646976
training,167,16511133.000000,459.000000,149.000000,80996.000000,0.392018,30.849504
training,168,16417396.000000,426.000000,160.000000,82546.000000,0.399520,27.649408
training,169,24535876.000000,391.000000,152.000000,85103.000000,0.411896,19.619808
training,170,21092736.000000,449.000000,133.000000,88005.000000,0.425941,22.451424
training,171,18500438.000000,394.000000,158.000000,91485.000000,0.442784,24.027519
training,172,19763700.000000,446.000000,138.000000,86140.000000,0.416915,26.297152
training,173,19433804.000000,490.000000,139.000000,80096.000000,0.387662,23.498144
training,174,16523274.000000,525.000000,143.000000,73266.000000,0.354605,29.001633
training,175,17921868.000000,368.000000,144.000000,103225.000000,0.499606,23.742687
training,176,18193764.000000,493.000000,137.000000,77997.000000,0.377503,25.741920
training,177,21013536.000000,433.000000,137.000000,94390.000000,0.456844,26.450687
training,178,26738012.000000,374.000000,144.000000,79064.000000,0.382667,26.444193
training,179,21448288.000000,461.000000,140.000000,76583.000000,0.370659,23.455551
training,180,20220368.000000,393.000000,137.000000,96967.000000,0.469317,30.511711
training,181,17674236.000000,406.000000,148.000000,65833.000000,0.318630,19.618240
training,182,21500364.000000,412.000000,168.000000,97557.000000,0.472173,26.575840
training,183,22533532.000000,394.000000,150.000000,76107.000000,0.368355,19.901217
training,184,20582692.000000,427.000000,149.000000,79213.000000,0.383388,26.720673
training,185,16887446.000000,435.000000,162.000000,87954.000000,0.425694,28.913729
training,186,20415224.000000,431.000000,160.000000,82250.000000,0.398087,27.935871
training,187,15356092.000000,354.000000,143.000000,85002.000000,0.411407,21.121536
training,188,16542874.000000,455.000000,149.000000,69957.000000,0.338590,24.385759
training,189,18934468.000000,380.000000,147.000000,106311.000000,0.514542,24.495041
training,190,14923831.000000,353.000000,143.000000,78398.000000,0.379444,24.177504
training,191,22745460.000000,423.000000,174.000000,97872.000000,0.473697,28.923967
training,192,21220364.000000,428.000000,162.000000,72204.000000,0.349465,22.074240
training,193,20445032.000000,462.000000,135.000000,85047.000000,0.411625,22.932129
training,194,20882956.000000,431.000000,165.000000,84292.000000,0.407970,20.978271
training,195,16045961.000000,476.000000,150.000000,69165.000000,0.334756,26.180161
training,196,18175296.000000,439.000000,145.000000,74232.000000,0.359280,24.763329
